pid,kicker,kgro,knet,ktb,kr,kry
79490,WR-0500,70,6,0,CR-1500,64
79492,MV-0100,67,38,0,YM-0100,29
79503,JW-3300,60,38,0,TW-2100,22
79518,MV-0100,67,47,0,YM-0100,20
79530,JW-3300,72,53,0,TW-2100,19
79539,MV-0100,59,42,0,YM-0100,17
79543,JW-3300,73,53,1,,0
79559,JW-3300,68,44,0,TW-2100,24
79570,JW-3300,44,36,0,JF-1700,8
79572,JW-3300,70,44,0,TW-2100,26
79584,MV-0100,63,46,0,YM-0100,17
79609,JW-3300,73,45,0,TW-2100,28
79637,JN-0600,61,42,0,AK-0400,19
79648,PD-0200,40,37,0,JW-0500,3
79660,JN-0600,47,47,0,,0
79665,PD-0200,55,41,0,EB-0700,14
79674,JN-0600,65,47,0,BG-0300,18
79696,PD-0200,70,56,0,EB-0700,14
79701,JN-0600,55,34,0,AK-0400,21
79711,PD-0200,57,43,0,EB-0700,14
79720,PD-0200,52,41,0,EB-0700,11
79732,JN-0600,70,50,1,,0
79755,JN-0600,55,24,0,BG-0300,31
79767,PD-0200,60,37,0,EB-0700,23
79777,PD-0200,55,37,0,EB-0700,18
79791,PD-0200,50,39,0,JW-0500,11
79798,BC-2300,64,36,0,ML-1700,28
79812,TG-1500,70,47,0,MB-1000,23
79820,TG-1500,60,46,0,MB-1000,14
79834,BC-2300,70,36,0,ML-1700,34
79859,BC-2300,50,50,0,TA-0100,0
79870,BC-2300,43,43,0,,0
79872,TG-1500,48,36,0,BJ-1700,12
79881,BC-2300,69,53,0,ML-1700,16
79892,BC-2300,55,35,1,,0
79907,BC-2300,68,52,0,ML-1700,16
79914,BC-2300,66,42,0,ML-1700,24
79938,BC-2300,58,56,0,ML-1700,2
79945,TS-0500,57,24,0,PP-0300,33
79958,AV-0400,62,45,0,SS-2100,17
79965,AV-0400,56,44,0,SS-2100,12
80002,TS-0500,53,39,0,KF-0200,14
80024,AV-0400,58,47,0,SS-2100,11
80041,AV-0400,57,41,0,SS-2100,16
80049,TS-0500,59,33,0,PP-0300,26
80057,AV-0400,51,35,0,SS-2100,16
80077,AV-0400,40,14,0,LB-1200,26
