pid,punter,pgro,pnet,ptb,pr,pry,pfc
582167,BA-0850,31,31,0,KW-1800,0,0
582174,AL-0500,61,45,0,AS-0150,16,0
582262,BF-0300,52,51,0,JE-0100,1,0
582281,RA-0850,46,36,0,MT-0550,10,0
582291,BF-0300,30,30,0,JE-0100,0,1
582298,RA-0850,39,34,0,MT-0550,5,0
582343,RA-0850,51,38,0,MT-0550,13,0
582371,BF-0300,37,30,0,JE-0100,7,0
582375,RA-0850,50,50,0,MT-0550,0,1
582379,BF-0300,42,30,0,JE-0100,12,0
582429,RA-0850,31,31,0,MT-0550,0,1
582443,ZM-0100,45,25,0,JF-2600,20,0
582448,MK-0760,49,29,1,,0,0
582452,ZM-0100,3,3,0,,0,0
582465,ZM-0100,49,29,1,,0,0
582486,MK-0760,41,41,0,AB-3500,0,1
582491,ZM-0100,51,51,0,,0,0
582508,ZM-0100,30,30,0,,0,0
582538,MK-0760,45,39,0,AB-3500,6,0
582542,ZM-0100,56,56,0,,0,0
582549,MK-0760,44,44,0,,0,0
582562,MK-0760,43,43,0,AB-3500,0,1
582566,ZM-0100,65,45,1,,0,0
582570,MK-0760,58,14,0,AB-3500,44,0
582577,MK-0760,53,56,0,AB-3500,-3,0
582597,MK-0760,39,43,0,AB-3500,-4,0
582617,RQ-0050,56,43,0,BT-0300,13,0
582633,RQ-0050,49,38,0,BT-0300,11,0
582642,RQ-0050,48,47,0,AJ-1200,1,0
582687,RQ-0050,46,46,0,BT-0300,0,1
582691,KH-2600,53,49,0,JC-5600,4,0
582732,RQ-0050,49,54,0,BT-0300,-5,0
582736,KH-2600,58,48,0,JC-5600,10,0
582751,KH-2600,50,50,0,,0,0
582758,SR-0800,52,52,0,,0,0
582776,SR-0800,60,60,0,,0,0
582782,BC-2000,55,53,0,JM-6300,2,0
582790,SR-0800,38,38,0,TH-1900,0,1
582797,BC-2000,54,20,0,JM-6300,34,0
582804,SR-0800,31,31,0,,0,0
582814,BC-2000,38,38,0,,0,0
582868,SR-0800,31,31,0,,0,0
582890,SR-0800,15,15,0,,0,0
582906,SR-0800,47,37,0,TH-1900,10,0
582944,MB-3000,53,60,0,PP-0400,-7,0
582949,DZ-0100,51,38,0,RM-1900,13,0
582957,MB-3000,21,21,0,,0,0
583002,MB-3000,52,49,0,PP-0400,3,0
583015,MB-3000,57,57,0,PP-0400,0,1
583019,DZ-0100,57,43,0,RM-1900,14,0
583032,DZ-0100,55,35,1,,0,0
583059,DZ-0100,55,55,0,,0,0
583110,DZ-0100,14,14,0,,0,0
583139,JL-2250,49,49,0,,0,0
583182,JL-2250,53,-40,0,MH-4000,93,0
583219,JL-2250,50,50,0,MH-4000,0,0
583235,JL-2250,34,34,0,,0,0
583279,JH-3230,55,55,0,GT-0100,0,0
583287,JR-3700,37,37,0,CR-0750,0,0
583300,JR-3700,47,47,0,TA-1050,0,1
583311,JR-3700,43,43,0,TA-1050,0,0
583334,JH-3230,38,38,0,GT-0100,0,0
583338,JR-3700,49,49,0,,0,0
583342,JH-3230,41,32,0,GT-0100,9,0
583346,JR-3700,51,51,0,,0,0
583351,JR-3700,46,39,0,TA-1050,7,0
583355,JH-3230,48,48,0,,0,0
583359,JR-3700,37,37,0,TA-1050,0,0
583395,JR-3700,44,44,0,TA-1050,0,1
583408,JR-3700,49,49,0,,0,0
583428,BF-0300,52,41,0,BT-0300,11,0
583432,KH-2600,50,50,0,MT-0550,0,1
583438,BF-0300,58,58,0,,0,0
583471,KH-2600,46,46,0,,0,0
583491,KH-2600,33,33,0,MT-0550,0,1
583495,BF-0300,54,48,0,BT-0300,6,0
583542,BF-0300,52,48,0,BT-0300,4,0
583553,BF-0300,43,32,0,BT-0300,11,0
583566,BF-0300,52,37,0,BT-0300,15,0
583592,BF-0300,48,46,0,BT-0300,2,0
583601,KH-2600,25,25,0,MT-0550,0,1
583606,BF-0300,32,32,0,,0,0
583614,DC-3200,59,59,0,,0,0
583624,BM-3600,29,29,0,DM-1200,0,1
583634,DC-3200,51,51,0,LM-1100,0,1
583652,DC-3200,49,29,1,,0,0
583686,DC-3200,55,39,0,LM-1100,16,0
583734,DC-3200,59,54,0,LM-1100,5,0
583748,BM-3600,32,32,0,,0,0
583754,DC-3200,44,44,0,,0,0
583759,BM-3600,47,47,0,DM-1200,0,0
583782,MB-3000,40,40,0,TG-0900,0,1
583786,BN-0700,57,41,0,RM-1900,16,0
583827,MB-3000,47,23,0,TG-0900,24,0
583870,MB-3000,52,52,0,TG-0900,0,1
583881,BN-0700,37,37,0,RM-1900,0,1
583891,BN-0700,34,34,0,,0,0
583896,MB-3000,38,38,0,TG-0900,0,1
583914,MB-3000,48,48,0,TG-0900,0,1
583938,MS-0600,50,50,0,,0,0
583965,MS-0600,35,35,0,,0,0
583973,SR-0800,46,46,0,KA-0650,0,1
584023,MS-0600,44,38,0,JM-6300,6,0
584043,MS-0600,31,31,0,,0,0
584047,SR-0800,40,40,0,,0,0
584073,SR-0800,37,37,0,,0,0
584120,RQ-0050,43,43,0,LM-1500,0,1
584143,RQ-0050,40,40,0,,0,0
