pid,psr,ints,iry
57613,KW-0500,DH-4100,37
57624,KW-0500,SK-0500,21
57751,DC-4400,DJ-0300,0
57981,KC-2000,KL-1700,0
58037,SM-2400,BA-0300,0
58132,SM-2400,KC-1100,3
58219,DM-2200,KL-0500,0
58302,JP-3200,DM-2900,2
58359,CC-1400,OS-0800,17
58643,SM-0900,EL-0400,0
58663,SM-0900,BB-2500,8
58737,SM-0900,RJ-0300,0
58807,TC-2600,MB-4100,16
58847,BF-0100,DA-0100,46
58892,BF-0100,JD-3100,9
59014,CW-1300,PS-1000,29
59080,JF-1400,JW-4300,0
59162,KC-2000,DC-2400,29
59199,KC-2000,ME-0400,71
59220,CS-4100,WP-0200,0
59234,CS-4100,JS-1700,0
59241,CS-4100,DJ-2600,14
59263,CS-4100,BS-1800,21
59404,RC-2800,BA-0300,4
59472,DF-1300,JW-6300,25
59556,TG-1600,TC-1800,3
59649,JG-0600,RB-0200,74
59734,JG-0600,TL-1300,0
59855,MB-4500,SR-1100,0
59976,MH-1600,CB-0100,0
59984,MH-1600,DT-0400,0
60077,TB-0200,WW-0700,24
60092,TD-1400,SS-1000,9
60131,AB-2900,AG-0800,0
60141,VT-0200,JB-2900,0
60165,AB-2900,ML-1800,17
60391,BG-1900,WT-0100,33
60400,BG-1900,TJ-0800,0
60504,KC-2000,KL-0500,13
60564,JP-3200,WA-0200,0
60704,RL-0300,KB-2100,8
60726,BF-0100,MB-4100,0
61113,DF-1300,JM-5300,17
61178,DF-1300,GC-0700,0
61184,DF-1300,DO-0200,0
61194,DF-1300,JS-5300,7
61251,CB-0900,RB-0700,1
61329,CB-0900,RB-0700,1
