pid,qtr,min,sec,dwn,yds,pts,player,type
13583,4,15,0,3,13,7,RG-0200,RUSH
13594,4,14,48,1,31,7,TO-0200,REC
13602,4,9,22,3,9,7,CG-0400,REC
13651,5,6,15,2,31,6,TB-2900,REC
13813,4,9,44,1,1,7,FT-0100,RUSH
13834,1,14,45,1,27,7,DC-4400,RUSH
13858,1,8,29,1,11,7,SK-0400,RUSH
13875,2,11,16,3,26,7,JD-1000,REC
13951,4,13,47,4,66,7,DA-0100,BLFG
13959,4,12,13,1,42,7,RM-5000,REC
14008,1,10,32,2,1,7,SP-1800,RUSH
14056,2,0,33,1,3,7,DM-2200,RUSH
14072,3,15,0,3,9,7,CL-0900,REC
14085,3,5,48,1,70,7,DB-3100,REC
14108,4,15,0,2,10,7,MP-1300,REC
14126,4,6,6,1,1,6,DA-2000,RUSH
14182,2,14,13,1,32,7,SM-3400,RUSH
14192,2,13,12,2,2,7,JO-0600,ORCV
14197,2,10,53,3,60,7,CC-4100,REC
14236,3,13,8,2,2,7,JF-0700,RUSH
14245,3,8,58,2,52,7,JG-2800,REC
14271,4,14,34,2,11,7,SB-1900,REC
14398,2,12,14,1,22,7,RS-2100,REC
14411,2,4,33,3,17,7,RS-2100,REC
14441,3,12,56,1,3,7,TP-2100,REC
14446,3,10,54,3,26,7,MA-1000,RUSH
14457,3,7,7,4,32,7,RS-2100,REC
14477,4,14,7,3,36,7,BJ-1000,INT
14546,1,3,44,1,67,7,AF-1300,REC
14577,2,6,48,2,39,7,CG-0400,REC
14591,2,0,57,3,2,7,AG-1600,RUSH
14606,3,15,0,2,1,7,DL-1100,RUSH
14620,3,8,51,1,23,7,JS-6900,REC
14639,4,13,16,1,16,7,TO-0200,REC
14649,4,11,36,3,1,7,AG-1600,RUSH
14657,4,8,1,1,37,7,TO-0200,REC
14697,1,12,14,2,4,7,NK-0600,REC
14738,2,4,47,2,14,7,TG-1300,REC
14753,2,0,18,3,15,7,TR-0300,REC
14803,4,11,20,2,7,7,TW-1600,REC
14853,1,13,25,3,2,7,CM-0600,RUSH
14857,1,8,29,2,21,7,VG-0200,INT
14893,2,12,20,1,9,7,KF-0200,RUSH
14911,2,3,0,1,4,7,CM-0600,RUSH
14945,3,8,53,4,2,7,CM-0600,RUSH
14977,4,11,22,2,13,7,DB-2600,RUSH
15051,2,15,0,2,2,7,RW-2600,RUSH
15158,4,7,25,3,1,7,RW-2600,RUSH
15167,4,3,16,3,29,7,JH-5200,REC
15233,2,6,48,4,1,7,PM-1100,REC
15271,3,10,7,3,1,7,RT-0800,REC
15290,3,1,23,1,3,7,ES-1000,RUSH
15307,4,10,6,2,3,6,RD-0700,RUSH
15347,1,14,6,2,77,7,HW-0100,REC
15527,1,15,0,1,26,7,EJ-0200,RUSH
15561,2,14,12,1,8,7,DJ-0100,REC
15569,2,10,3,2,3,7,EJ-0200,RUSH
15583,2,2,0,2,7,7,IM-0200,REC
15612,3,14,39,1,17,7,KD-1000,REC
15630,3,5,35,1,2,7,EJ-0200,RUSH
15659,4,5,15,3,6,7,KB-0100,REC
15677,1,15,0,0,96,7,DV-0200,KR
15679,1,14,44,0,103,7,TH-2600,KR
15691,1,13,56,2,16,7,TM-0900,REC
15717,2,15,0,3,3,8,TH-2600,REC
15740,2,9,45,2,2,6,JW-1000,RUSH
15746,2,2,0,1,4,7,JA-1600,RUSH
15761,2,0,11,4,30,8,AH-0200,REC
15783,3,10,32,1,12,8,RH-2600,REC
15830,4,4,32,4,16,8,TD-2500,REC
15841,4,1,14,1,3,8,MF-0300,RUSH
15958,4,15,0,2,33,7,SD-0400,RUSH
16020,1,6,59,3,25,6,DW-2500,REC
16050,2,8,58,1,72,7,RS-2000,RUSH
16060,2,7,21,3,24,7,CC-1000,REC
16089,3,12,0,3,24,7,MH-1700,REC
16114,4,15,0,1,6,7,JA-0800,RUSH
16125,4,12,57,2,7,7,RM-5000,REC
16176,1,7,37,2,4,7,FW-1100,REC
16192,2,15,0,3,22,7,DM-0500,REC
16240,3,12,27,2,19,7,EG-0200,RUSH
